Camellia sinensis, 114308066, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114309513, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114302746, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114262497, phenylalanine ammonia-lyase G1  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114269233, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114273057, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Camellia sinensis, 114260674, LOW QUALITY PROTEIN: trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Camellia sinensis, 114288944, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Camellia sinensis, 114311490, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114316137, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114280551, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114304171, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114293495, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114273413, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114257011, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Camellia sinensis, 114310244, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114313883, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114313884, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114313885, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114317016, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114279798, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114280650, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114280651, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114282972, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114283064, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114287089, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114266018, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114269230, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114269512, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270303, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270305, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114270312, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114273083, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114273085, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114256562, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114257803, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114278438, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114278444, vinorine synthase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114300059, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114300061, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114258632, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114259594, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114259654, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Camellia sinensis, 114303480, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114303482, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114298795, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Camellia sinensis, 114322411, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114323288, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114281388, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114302378, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114283523, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114303752, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114267339, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Camellia sinensis, 114304123, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114263843, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114263845, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114265165, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114265740, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114288248, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114268149, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114269434, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114295542, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114275663, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114275665, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Camellia sinensis, 114284668, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Camellia sinensis, 114269014, LOW QUALITY PROTEIN: cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Camellia sinensis, 114319353, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Camellia sinensis, 114282311, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Camellia sinensis, 114282324, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Camellia sinensis, 114288093, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Camellia sinensis, 114304830, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camellia sinensis, 114264873, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camellia sinensis, 114296006, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Camellia sinensis, 114311917, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114318633, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114318652, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114318654, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114319246, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114279920, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114281109, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114263502, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114289828, LOW QUALITY PROTEIN: probable inactive methyltransferase Os04g0175900  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114256533, classical arabinogalactan protein 5-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114298482, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114299270, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114258943, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Camellia sinensis, 114310863, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114319730, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114319731, probable cinnamyl alcohol dehydrogenase 1 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114320204, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114320205, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114320208, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114303812, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114263509, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114265898, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114287901, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114268134, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114272893, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114273393, cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114274262, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114295845, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114256449, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Camellia sinensis, 114296132, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Camellia sinensis, 114258465, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Camellia sinensis, 114270655, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Camellia sinensis, 114322843, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114306857, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114307561, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114308469, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114308652, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114309258, LOW QUALITY PROTEIN: peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114309410, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Camellia sinensis, 114309672, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
