Vitis vinifera, 100251425, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100244710, stilbene synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100261156, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100854415, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100267962, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100263443, CHS; chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100232843, CHS; chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100248612, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100258106, CHS3; chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vitis vinifera, 100233078, CHI; chalcone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Vitis vinifera, 100255217, CHI2; probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Vitis vinifera, 100233079, F3H; flavanone 3-hydroxylase  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis vinifera, 100253950, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis vinifera, 104879126, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Vitis vinifera, 100243852, FLS2; flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis vinifera, 100232938, FLS1; flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis vinifera, 100249002, FLS3; flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis vinifera, 100232939, FLS1; flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Vitis vinifera, 100267819, FLS5; flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
