Vitis riparia, 117933071, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117933074, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117933075, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117933076, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117925483, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117925495, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117915571, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117928585, phenylalanine ammonia-lyase G1  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117932190, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117932191, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117932192, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117920417, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117932448, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Vitis riparia, 117924864, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117925208, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117916090, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vitis riparia, 117933552, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117923562, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117924705, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117925178, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117916231, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117904859, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117928869, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Vitis riparia, 117909846, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117920767, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117920771, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117910829, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117922314, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117925181, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117925580, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117919449, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117909149, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924444, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924570, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924752, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117924899, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vitis riparia, 117920828, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vitis riparia, 117922161, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis riparia, 117927504, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis riparia, 117928642, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis riparia, 117930763, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis riparia, 117919411, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Vitis riparia, 117909966, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117911684, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vitis riparia, 117922688, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
