Cicer arietinum, 101489106, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101513808, chalcone synthase 1B  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101503025, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101503349, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101514543, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 105852659, CHS1; chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cicer arietinum, 101500746, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Cicer arietinum, 101501059, chalcone--flavonone isomerase 1B-2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Cicer arietinum, 101501370, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Cicer arietinum, 101508569, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cicer arietinum, 101492596, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cicer arietinum, 101501974, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cicer arietinum, 101492925, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cicer arietinum, 101504604, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cicer arietinum, 101509377, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cicer arietinum, 101503511, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101507607, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101492721, CYP73; trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cicer arietinum, 101513663, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Cicer arietinum, 101498748, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Cicer arietinum, 101513992, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Cicer arietinum, 101513338, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Cicer arietinum, 101493855, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Cicer arietinum, 101500008, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Cicer arietinum, 101493536, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Cicer arietinum, 101511254, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
