Mangifera indica, 123203564, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123229290, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123220371, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123196898, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221035, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221037, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210440, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221909, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123222546, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123211679, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123195779, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123196014, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210196, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210197, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210199, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210200, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123210201, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123211678, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221036, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221038, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123221039, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Mangifera indica, 123227022, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Mangifera indica, 123227582, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Mangifera indica, 123192628, chalcone--flavanone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Mangifera indica, 123192937, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Mangifera indica, 123194609, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Mangifera indica, 123199757, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Mangifera indica, 123202765, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123202986, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123206089, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123206097, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123218347, LOW QUALITY PROTEIN: flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123199612, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123199749, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123199750, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Mangifera indica, 123211848, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Mangifera indica, 123200117, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Mangifera indica, 123215356, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Mangifera indica, 123215357, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Mangifera indica, 123215903, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Mangifera indica, 123212945, NADPH-dependent codeinone reductase 1-2-like isoform X1 , [], KO:K08243
Mangifera indica, 123203073, cytochrome P450 93B2-like  [EC], ['EC:1.14.19.76'], KO:K23179
Mangifera indica, 123204634, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
