Arachis ipaensis, 107623580, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis ipaensis, 107624185, UDP-glycosyltransferase 73C6  [EC], ['EC:2.4.1.-'], KO:K22771
Arachis ipaensis, 107629806, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107610569, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107614535, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107610559, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107634224, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107619965, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 110262351, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107643187, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107614329, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107613915, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis ipaensis, 107619647, UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
