Macadamia integrifolia, 122061512, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122061513, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122061804, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122081057, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122069916, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122086992, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122058157, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Macadamia integrifolia, 122079373, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Macadamia integrifolia, 122069001, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Macadamia integrifolia, 122061771, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122063255, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122063272, 4-coumarate:CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122063273, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122063275, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122079310, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122093674, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122094069, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122094167, 4-coumarate--CoA ligase-like  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122069804, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122070608, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122073531, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122058254, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122074900, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Macadamia integrifolia, 122075440, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122061270, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122076522, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122063431, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122090662, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122063910, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122080841, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122094758, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122068946, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122083628, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122084369, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122085256, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122057505, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Macadamia integrifolia, 122088749, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122063491, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122063496, uncharacterized protein LOC122063496  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122068462, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122069164, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Macadamia integrifolia, 122091207, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Macadamia integrifolia, 122081595, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Macadamia integrifolia, 122069403, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Macadamia integrifolia, 122071070, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Macadamia integrifolia, 122057251, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Macadamia integrifolia, 122087512, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
