Capsicum annuum, 107864266, chalcone synthase 1B  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107880044, chalcone synthase F-like  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107871238, chalcone synthase B  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107849641, chalcone synthase F-like  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107850995, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107850996, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107871256, CHS; chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107851498, chalcone synthase F-like  [EC], ['EC:2.3.1.74'], KO:K00660
Capsicum annuum, 107871144, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Capsicum annuum, 107852750, CHI; chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Capsicum annuum, 107859880, F3H; naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Capsicum annuum, 107869735, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Capsicum annuum, 107843086, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Capsicum annuum, 107875407, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Capsicum annuum, 107875406, C4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Capsicum annuum, 107862334, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Capsicum annuum, 107860031, DFR; dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Capsicum annuum, 107847144, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Capsicum annuum, 107848667, F3'5'H; flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
