Olea europaea var. sylvestris, 111374392, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Olea europaea var. sylvestris, 111374393, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Olea europaea var. sylvestris, 111379443, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Olea europaea var. sylvestris, 111393361, chalcone synthase isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Olea europaea var. sylvestris, 111387047, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Olea europaea var. sylvestris, 111401282, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Olea europaea var. sylvestris, 111397470, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Olea europaea var. sylvestris, 111409089, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Olea europaea var. sylvestris, 111377181, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea var. sylvestris, 111372687, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea var. sylvestris, 111393218, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Olea europaea var. sylvestris, 111402974, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Olea europaea var. sylvestris, 111401587, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Olea europaea var. sylvestris, 111409594, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Olea europaea var. sylvestris, 111368826, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Olea europaea var. sylvestris, 111369334, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Olea europaea var. sylvestris, 111382475, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111397170, agmatine coumaroyltransferase-2-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111403060, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111380387, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111396239, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111377116, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111377122, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111390675, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111391849, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111403373, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111406772, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111404589, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111404591, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111397779, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111379817, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111368470, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111375382, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111403793, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111381127, putrescine hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Olea europaea var. sylvestris, 111391169, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Olea europaea var. sylvestris, 111401521, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Olea europaea var. sylvestris, 111387945, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111391869, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111391870, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111392356, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111393471, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111393476, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111366375, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Olea europaea var. sylvestris, 111411999, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
