Jatropha curcas, 105650921, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Jatropha curcas, 105637929, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Jatropha curcas, 105642230, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Jatropha curcas, 105642233, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Jatropha curcas, 105638891, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Jatropha curcas, 105643707, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Jatropha curcas, 105635600, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105635601, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105628033, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105629481, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105630258, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105649004, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105644823, 4-coumarate--CoA ligase-like 1 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105640228, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Jatropha curcas, 105630295, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105627975, LOW QUALITY PROTEIN: agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105631637, BAHD acyltransferase At5g47980  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633528, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633533, hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105641109, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105640237, stemmadenine O-acetyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105641133, stemmadenine O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105644920, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105644994, stemmadenine O-acetyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105633532, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Jatropha curcas, 105636120, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Jatropha curcas, 105634922, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Jatropha curcas, 105642532, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Jatropha curcas, 105634988, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Jatropha curcas, 105642035, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Jatropha curcas, 105638730, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Jatropha curcas, 105634142, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634145, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105639727, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105646284, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105637791, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634146, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634141, caffeoyl-CoA O-methyltransferase isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634143, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105634147, LOW QUALITY PROTEIN: caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105639981, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Jatropha curcas, 105630319, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Jatropha curcas, 105637698, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Jatropha curcas, 105637699, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Jatropha curcas, 105628450, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Jatropha curcas, 105635946, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105636072, LOW QUALITY PROTEIN: caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105631656, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105631282, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105632993, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105646425, LOW QUALITY PROTEIN: flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105646969, anthranilate N-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105639044, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105639046, caffeic acid 3-O-methyltransferase 2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 110009243, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Jatropha curcas, 105637089, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Jatropha curcas, 105645558, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
