Nymphaea colorata, 116260989, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116264364, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116264369, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116256966, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257503, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257504, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257698, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257842, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116249850, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.91'], KO:K10757
Nymphaea colorata, 116253945, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.91'], KO:K10757
Nymphaea colorata, 116254175, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.91'], KO:K10757
Nymphaea colorata, 116254177, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.91'], KO:K10757
Nymphaea colorata, 116251085, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116254083, UDP-glycosyltransferase 79A2-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116254426, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116254701, UDP-glycosyltransferase 79A2-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116254853, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247234, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247254, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247419, UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247422, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247423, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247424, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116247425, UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116248567, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Nymphaea colorata, 116249567, UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
