Arachis duranensis, 107483331, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107488455, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107488457, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483324, stilbene synthase 3 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483325, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483326, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483328, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483329, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483332, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483333, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483335, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483336, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483337, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483338, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483339, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483341, stilbene synthase 3 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483344, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107482389, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107477342, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483281, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483282, stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483283, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483284, putative stilbene synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483285, stilbene synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483286, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483289, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107483290, stilbene synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107460666, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107460667, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107466501, LOW QUALITY PROTEIN: stilbene synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107494609, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Arachis duranensis, 107467674, chalcone--flavonone isomerase 2  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis duranensis, 107467675, chalcone--flavonone isomerase 1B-1  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis duranensis, 107467625, chalcone--flavonone isomerase 1A  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis duranensis, 107470197, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Arachis duranensis, 107476683, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Arachis duranensis, 107465302, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis duranensis, 107458261, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Arachis duranensis, 107458104, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107467573, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107474042, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis duranensis, 107496026, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107464343, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Arachis duranensis, 107496024, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107495668, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107496020, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107496021, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107496122, NAD(P)H-dependent 6'-deoxychalcone synthase isoform X1 , [], KO:K08243
Arachis duranensis, 107480290, LOW QUALITY PROTEIN: NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Arachis duranensis, 107478821, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Arachis duranensis, 107477091, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Arachis duranensis, 107471019, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis duranensis, 107495990, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arachis duranensis, 107488173, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arachis duranensis, 107480609, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Arachis duranensis, 107491282, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Arachis duranensis, 107491529, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Arachis duranensis, 110275617, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107461280, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107463770, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107464487, spermidine hydroxycinnamoyl transferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107468945, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107474816, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Arachis duranensis, 107475054, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
